 5220.0000  2.09767205184642E+0004
 5240.0000  2.24442646120843E+0004
 5260.0000  1.02140688849607E+0004
 5280.0000  1.30693588245110E+0004
 5300.0000  8.95133773486768E+0003
 5320.0000  1.45928841521169E+0004
 5340.0000  2.16852876184854E+0004
 5360.0000  1.92488611286481E+0004
 5380.0000  7.76826724635290E+0003
 5400.0000  2.74918587355845E+0004
 5420.0000  5.79451153872275E+0003
 5440.0000  4.86171452040664E+0003
 5460.0000  6.95592309570752E+0003
 5480.0000  6.16117231181441E+0003
 5500.0000  1.00486394126044E+0004
 5520.0000  5.70611501186232E+0003
