 4140.0000  6.68359193501952E+0005
 4160.0000  7.29279472672636E+0005
 4180.0000  7.64866803101765E+0005
 4200.0000  7.97950840126992E+0005
 4220.0000  8.34984014515538E+0005
 4240.0000  8.67211065617975E+0005
 4260.0000  8.69096497980892E+0005
 4280.0000  9.07340842429795E+0005
 4300.0000  9.08828516508938E+0005
 4320.0000  9.49812457599366E+0005
 4340.0000  9.48910435924581E+0005
 4360.0000  9.99727608370334E+0005
 4380.0000  9.93434982388362E+0005
 4400.0000  9.98378370822036E+0005
 4420.0000  1.03888195491881E+0006
 4440.0000  1.06097761699767E+0006
 4460.0000  1.02931574178485E+0006
 4480.0000  1.07047895847072E+0006
 4500.0000  1.03960336835740E+0006
 4520.0000  1.06241327879169E+0006
 4540.0000  1.09330466831569E+0006
